Name,Gender,Age,Education_Level,Relationship_Status,Hometown,Unit,Decision_skill_possess,Time_of_service,Time_since_promotion,growth_rate,Travel_Rate,Post_Level,Pay_Scale,Compensation_and_Benefits,Work_Life_balance,VAR1,VAR2,VAR3,VAR4,VAR5,VAR6,VAR7,Burnout_rate
Resource 1,F,42,4,Married,Franklin,IT,Conceptual,4,4,33,1,1,7,type2,3,4,0.7516,1.8688,2,4,5,3,0.1841
Resource 2,M,24,3,Single,Springfield,Logistics,Analytical,5,4,36,0,3,6,type2,4,3,-0.9612,-0.4537,2,3,5,3,0.067
Resource 3,F,58,3,Married,Clinton,Quality,Conceptual,27,3,51,0,2,8,type2,1,4,-0.9612,-0.4537,3,3,8,3,0.0851
Resource 4,F,26,3,Single,Lebanon,Human Resource Management,Behavioral,4,3,56,1,3,8,type2,1,3,-1.8176,-0.4537,,3,7,3,0.0668
Resource 5,F,31,1,Married,Springfield,Logistics,Conceptual,5,4,62,1,3,2,type3,3,1,0.7516,-0.4537,2,2,8,2,0.1827
Resource 6,M,54,3,Married,Lebanon,Purchasing,Conceptual,19,1,21,2,5,9,type2,1,3,-1.8176,1.8688,2,2,8,3,0.7613
Resource 7,F,21,4,Married,Springfield,Purchasing,Directive,2,1,50,1,1,6,type2,2,3,-0.9612,0.7075,2,3,7,3,0.2819
Resource 8,F,,3,Married,Springfield,Sales,Directive,34,4,23,1,4,6,type3,2,3,-0.1048,-0.4537,2,3,9,3,0.1169
Resource 9,M,40,4,Single,Springfield,Production,Analytical,13,1,49,0,1,9,type0,4,1,,1.8688,2,5,6,3,0.1968
Resource 10,M,45,3,Married,Lebanon,IT,Directive,21,4,34,0,2,5,type3,4,3,0.7516,-0.4537,2,4,8,3,0.287
Resource 11,F,65,5,Single,Lebanon,Purchasing,Behavioral,31,3,49,1,1,6,type3,3,3,0.7516,-0.4537,3,4,6,3,0.2735
Resource 12,F,19,5,Single,Springfield,Operarions,Analytical,0,0,25,1,2,5,type4,1,3,-1.8176,-0.4537,2,3,6,3,0.08
Resource 13,M,63,3,Married,Lebanon,Sales,Conceptual,27,1,29,0,2,7,type2,1,3,-0.1048,-0.4537,2,5,6,3,0.2109
Resource 14,F,23,4,Single,Washington,Logistics,Conceptual,4,2,70,1,3,8,type2,3,4,-0.1048,-1.615,2,4,8,3,0.1696
Resource 15,F,19,3,Married,Washington,Human Resource Management,Directive,0,0,74,0,2,9,type2,3,3,-0.9612,1.8688,2,4,6,3,0.0318
Resource 16,F,,3,Married,Springfield,Logistics,Analytical,0,0,32,1,2,6,type2,2,3,0.7516,-1.615,1,3,8,3,0.1331
Resource 17,M,65,4,Single,Franklin,IT,Behavioral,35,1,58,0,3,4,type2,2,3,-0.1048,0.7075,1,3,5,3,0.0671
Resource 18,F,40,4,Married,Springfield,Accounting and Finance,Directive,12,1,45,1,3,9,type3,2,3,-0.9612,-0.4537,2,5,8,4,0.1468
Resource 19,M,33,3,Single,Springfield,Accounting and Finance,Analytical,9,1,39,1,2,5,type3,1,3,-1.8176,0.7075,2,3,8,3,0.056
Resource 20,M,32,3,Single,Lebanon,IT,Conceptual,7,4,44,0,4,5,type2,1,3,,0.7075,1,1,5,4,0.641
Resource 21,F,22,4,Married,Clinton,Quality,Behavioral,3,1,53,0,4,6,type2,3,3,-0.9612,-0.4537,2,2,7,4,0.1095
Resource 22,F,25,3,Married,Springfield,IT,Directive,6,3,53,1,2,6,type3,1,3,0.7516,0.7075,3,3,8,4,0.0462
Resource 23,M,65,1,Married,Franklin,IT,Analytical,33,2,30,0,3,7,type2,2,3,,0.7075,1,3,6,3,0.1708
Resource 24,F,31,4,Married,Washington,Accounting and Finance,Analytical,6,4,39,1,3,8,type3,1,3,-0.1048,0.7075,2,3,5,3,0.2704
Resource 25,F,24,5,Single,Springfield,Sales,Conceptual,5,1,52,0,3,8,type2,2,3,-0.9612,-0.4537,,3,8,5,0.1742
Resource 26,F,,2,Married,Washington,Marketing,Directive,15,1,58,1,3,3,type2,1,3,-0.1048,-0.4537,1,4,8,2,0.8727
Resource 27,F,47,4,Single,Washington,R&D,Analytical,21,1,34,1,3,8,type2,4,4,0.7516,0.7075,2,3,5,2,0.2269
Resource 28,M,28,3,Single,Lebanon,Sales,Conceptual,,1,58,0,4,8,type2,1,3,0.7516,0.7075,2,3,8,3,0.6272
Resource 29,F,45,3,Married,Lebanon,R&D,Analytical,15,4,60,0,2,9,type4,2,3,-0.9612,-0.4537,,1,7,5,0.0326
Resource 30,F,34,3,Married,Lebanon,Operarions,Analytical,6,1,29,0,4,7,type2,3,3,-1.8176,-0.4537,2,2,8,3,0.273
Resource 31,M,24,4,Single,Franklin,IT,Analytical,5,4,55,0,1,8,type2,3,4,0.7516,0.7075,2,3,5,3,0.0021
Resource 32,M,54,3,Single,Lebanon,Accounting and Finance,Directive,28,1,71,2,3,5,type2,3,4,-0.1048,-0.4537,,2,8,5,0.0647
Resource 33,F,54,1,Single,Springfield,IT,Behavioral,30,3,22,0,1,5,type3,2,3,-1.8176,-0.4537,2,4,7,3,0.0447
Resource 34,F,55,3,Married,Franklin,IT,Behavioral,33,4,66,0,5,7,type3,4,3,-0.1048,-0.4537,2,2,6,3,0.2307
Resource 35,F,19,5,Single,Lebanon,Operarions,Behavioral,0,0,39,2,3,4,type2,4,3,,-0.4537,1,2,8,3,0.2637
Resource 36,F,46,3,Single,Washington,Sales,Analytical,10,2,31,0,2,9,type4,1,3,-1.8176,0.7075,2,1,8,3,0.0759
Resource 37,F,28,3,Single,Lebanon,Operarions,Analytical,6,3,38,2,1,5,type3,2,3,1.6081,0.7075,2,3,9,3,0.2161
Resource 38,M,54,3,Single,Springfield,Purchasing,Directive,26,2,27,2,4,8,type3,2,3,-0.1048,-0.4537,2,3,8,3,0.4617
Resource 39,F,33,3,Married,Lebanon,Logistics,Analytical,9,3,72,0,1,10,type2,2,2,0.7516,-0.4537,,2,7,3,0.6961
Resource 40,M,30,3,Single,Springfield,IT,Directive,7,3,33,0,2,6,type2,1,1,0.7516,0.7075,2,4,7,3,0.2656
Resource 41,F,,2,Married,Springfield,IT,Conceptual,4,1,72,2,5,6,type3,2,3,-1.8176,0.7075,2,5,6,2,0.0618
Resource 42,M,43,4,Married,Washington,Operarions,Behavioral,12,4,50,2,5,5,type2,4,3,0.7516,-0.4537,2,4,8,3,0.1983
Resource 43,M,30,4,Married,Clinton,IT,Conceptual,6,1,46,1,1,6,type3,4,2,1.6081,0.7075,1,4,8,4,0.2744
Resource 44,M,,3,Married,Springfield,Logistics,Conceptual,19,3,51,1,2,4,type2,2,5,0.7516,1.8688,2,3,8,3,0.1571
Resource 45,F,24,3,Married,Clinton,Marketing,Conceptual,5,1,20,1,4,7,type4,2,4,0.7516,0.7075,2,4,6,3,0.0088
Resource 46,F,39,3,Single,Franklin,Production,Directive,14,4,67,1,5,5,type4,1,3,1.6081,0.7075,,3,6,3,0.0882
Resource 47,M,27,4,Married,Lebanon,Marketing,Analytical,3,3,68,0,4,6,type2,4,4,-0.1048,-0.4537,1,3,8,5,0.2711
Resource 48,F,34,4,Married,Washington,IT,Directive,10,2,67,0,3,9,type2,2,3,0.7516,-0.4537,2,1,7,1,0.1519
Resource 49,F,57,1,Married,Springfield,IT,Directive,35,3,37,1,3,2,type3,1,4,0.7516,0.7075,2,2,6,3,0.1593
Resource 50,M,31,4,Single,Springfield,Sales,Behavioral,4,2,48,0,5,4,type2,1,1,-0.1048,0.7075,,3,8,3,0.23
Resource 51,F,54,3,Married,Franklin,Logistics,Directive,27,4,27,0,1,5,type3,2,3,,-0.4537,2,3,6,4,0.0672
Resource 52,M,51,3,Single,Springfield,Quality,Directive,27,2,63,1,2,6,type2,3,3,,-1.615,3,4,8,3,0.046
Resource 53,F,41,4,Married,Clinton,Purchasing,Conceptual,18,1,64,0,2,5,type2,4,3,-0.9612,-0.4537,2,2,8,4,0.1008
Resource 54,F,28,4,Single,Springfield,IT,Directive,6,1,22,1,3,7,type3,1,3,-0.1048,1.8688,2,3,7,3,0.0871
Resource 55,M,,4,Married,Springfield,IT,Directive,24,4,52,0,2,5,type3,3,3,-1.8176,-0.4537,1,3,9,4,0.0449
Resource 56,F,37,3,Married,Springfield,Sales,Behavioral,10,2,66,1,4,5,type3,2,3,-0.1048,-2.7762,1,2,5,4,0.1544
Resource 57,M,60,3,Married,Lebanon,Sales,Analytical,27,3,38,1,3,4,type2,1,2,0.7516,-0.4537,2,1,8,3,0.0068
Resource 58,M,24,4,Married,Springfield,Quality,Behavioral,,4,22,0,3,6,type2,2,4,-1.8176,-0.4537,2,3,8,5,0.2197
Resource 59,F,54,1,Married,Franklin,IT,Conceptual,23,2,29,2,1,6,type3,1,3,,-0.4537,,4,6,4,0.1379
Resource 60,F,50,4,Single,Lebanon,IT,Directive,27,1,54,0,3,7,type0,4,3,,-0.4537,3,3,7,5,0.2384
Resource 61,F,54,1,Married,Lebanon,Operarions,Conceptual,15,2,27,0,3,6,type2,2,3,0.7516,0.7075,,4,8,3,0.1313
Resource 62,M,34,2,Married,Lebanon,Security,Conceptual,12,2,23,2,1,5,type4,1,3,,-0.4537,2,5,5,3,0.042
Resource 63,F,56,1,Married,Springfield,Logistics,Behavioral,20,3,47,1,5,5,type2,1,3,-0.9612,-0.4537,2,2,8,3,0.1675
